cartodb_id,the_geom,test,safield006,safield005,safield004,safield003
279,0101000020E6100000A3B8A8E088016140F26E5A608CEE4140,1,菅町,,,不明
110,0101000020E610000070A6CF5FB90461408ED4CC9E6CF64140,10,氷坂町46-41-2,屋外,ファミールほのか前駐車場,全災害時
172,0101000020E610000027E43A1B630461402B756486C8F34140,10,高森町7-1,屋外,陣屋第二公園,全災害時
1,0101000020E6100000B4950B44690561407D8CE9E7B4F34140,8,府中一丁目１3-7,屋内,越前市生涯学習センター,風水害時
2,0101000020E610000015421F4069056140CD35D619B5F34140,10,府中一丁目１3-7,屋内,越前市生涯学習センター,全災害時
3,0101000020E6100000F3EE8CCA6B056140FD141266B9F34140,8,府中一丁目13-15,屋内,越前市東公民館,風水害時
4,0101000020E610000038E2572C6205614018BCF41B32F44140,10,国府二丁目9-12,屋外,武生東小学校グラウンド,全災害時
5,0101000020E6100000CB996A36740561400866FBDFCDF34140,8,府中一丁目,屋内,平和堂４Fフロアー,風水害時
6,0101000020E610000097BDFA18780561405A2D21034DF34140,10,吾妻町1,屋外,立体交差下広場,全災害時
7,0101000020E61000008D9722F867056140AC8EA8820CF34140,10,住吉町3-22,屋外,スミヨシパーク（矢佐駐車場）,全災害時
8,0101000020E6100000EC650C59810561407737078F29F34140,8,堀川町4-18,屋内,堀川町ふれあい会館,風水害時
9,0101000020E6100000EE2E80037B05614045F6D3E195F34140,10,錦町,屋内,錦町ふれあい会館,全災害時
10,0101000020E61000002FA51BD07E056140EB483B6FF4F34140,8,万代町9-5,屋内,東保育園,風水害時
11,0101000020E610000059B1B3CB5D056140618F33133AF34140,10,天王町5,屋外,八坂神社,全災害時
12,0101000020E6100000540D423A510561409490B46981F34140,10,蓬莱町4,屋外,蔵の辻広場,全災害時
13,0101000020E61000008B34C8D157056140804FBD50B4F34140,10,幸町3-16,屋外,越前市まちなか無料駐車場,全災害時
14,0101000020E61000000F3464DA5505614084ABFB72DEF34140,10,国府一丁目4-13,屋外,本興寺境内,全災害時
15,0101000020E61000000E6034916405614071B0B9E5B2F34140,10,府中一丁目13-15,屋外,市民ホール,全災害時
16,0101000020E6100000EA6C33A55E056140F45288D14BF44140,8,国府二丁目9-12,屋内,武生東小学校体育館,風水害時
17,0101000020E6100000842FE1A98C056140502D618867F54140,10,北府一丁目3-20,屋外,南越清掃組合第一清掃センター,全災害時
18,0101000020E6100000C5752F935205614012347638F9F44140,8,北府二丁目12-13,屋内,越前外科内科病院,風水害時
19,0101000020E61000008073D41D5305614086B5887641F54140,10,北府四丁目,屋外,北府ふれあい公園,全災害時
20,0101000020E6100000BAEC69B55E056140C2D0E76F4BF44140,10,国府二丁目9-12,屋内,武生東小学校体育館,全災害時
21,0101000020E6100000AE55DB4945056140BB0874F852F44140,8,本多二丁目10-22,屋内,JA越前たけふ農協会館,風水害時
22,0101000020E610000088747A3E450561405D8B5E0553F44140,8,本多二丁目10-22,屋内,JA越前たけふ農協会館,風水害時
23,0101000020E610000077A64D6C420561408254D50F2AF34140,10,本町3-10,屋外,陽願寺境内,全災害時
24,0101000020E61000008CA917483E056140974C285F4CF34140,10,元町4-4,屋外,円徳寺前駐車場,全災害時
25,0101000020E6100000C3A29AC14305614073C72CCA50F34140,10,元町2-16,屋外,（予備避難場所）金蓮寺境内,全災害時
26,0101000020E610000093ED1CAD430561401DF381609FF34140,10,京町一丁目4-35,屋外,総社大神宮境内,全災害時
27,0101000020E6100000A128BE7535056140882A7C5BB0F34140,10,京町三丁目3-5,屋外,引接寺弁天堂前,全災害時
28,0101000020E6100000F6FB4E4F38056140F36F5DFED3F34140,10,本多一丁目3-1,屋外,御霊神社境内,全災害時
290,0101000020E61000001D3695C976016140BA5BE9F2B1F24140,10,若須町,屋外,白山神社,全災害時
29,0101000020E6100000956D283D3A05614097B3DA5524F34140,10,平和町7-24,屋外,交流センターみどり,全災害時
30,0101000020E6100000A3EC478531056140CD5AAE5C4FF34140,10,若松町5-37,屋内,太田会館,全災害時
